a_1;i_1;a_2;i_2;a_3;i_3;a_4;i_4;a_5;i_5;a_6;i_6;a_7;i_7;a_8;i_8;a_9;i_9;a_10;i_10;a_11;i_11
0.017;0;0;0;0.471;0;0;0;0.017;0;0.087;0;0.017;0;0.175;0;0.017;0;0;0;0.017;0
0.017;0;0;0;0.471;0;0;0;0.017;0;0.105;0;0.017;0;0.175;0;0.017;0;0;0.1;0.017;0
0.017;0;0;0;0.489;-0.1;0;0;0.017;0;0.14;0;0.017;0;0.192;0;0.017;0;0;0;0.017;0
0.017;0;0;0;0.489;0;0;0;0.017;0;0.157;0;0.017;0;0.192;0;0.017;0;0;0.1;0.017;0
0.017;0;0.017;0;0.489;0;0;0;0.017;0;0.192;0;0.017;0;0.192;0.1;0.017;0;0;0;0.017;0
0.017;-0.1;0.017;0;0.489;0;0;0;0.035;0;0.227;0;0.017;0;0.192;0;0.017;0;0;0;0.017;0
0.017;0;0.017;0;0.506;0;0;0;0.035;0;0.244;0;0.017;0;0.192;0;0.017;0;0;0;0.017;0
0.017;0;0.017;0;0.506;0;0;0;0.035;0;0.279;0;0.017;0;0.192;0;0.017;0;0;0;0.017;0
0.017;0;0.035;0;0.524;0;0;0;0.035;0;0.297;0;0.017;0;0.209;0;0.017;0;0;0;0.017;0
0.017;0;0.052;0;0.524;0;0;0;0.035;0;0.332;0;0.017;0.1;0.209;0;0.017;0;0;0.1;0.017;0
0.017;-0.1;0.07;0;0.524;0;0;0;0.035;0;0.332;0;0.017;0;0.209;0;0.017;0;0;0;0.017;0
0.017;0;0.105;0;0.541;0;0;0;0.035;0;0.349;0;0.017;0;0.209;0;0.017;0;0;0;0.017;0
0.017;0;0.122;0;0.541;0;0.017;0;0.035;0;0.349;0;0.017;0;0.209;0;0.017;0;0;0;0.017;0
0.017;0;0.157;0;0.559;0;0.017;0;0.035;0;0.367;0;0.017;0;0.209;0;0.017;0;0;0;0.017;0.1
0.017;0;0.192;0;0.559;0;0.017;0;0.035;0;0.367;0;0.017;0;0.209;0;0.017;0;0;0;0.017;0
0.017;0;0.227;0;0.576;0;0.017;0;0.035;0;0.367;0;0.017;0;0.209;0;0.017;0;0;0;0.017;0
0.017;0;0.244;0;0.576;0;0.017;0;0.035;0;0.367;0;0.017;0;0.227;0;0.017;0;0;0;0.017;0
0.017;0;0.279;0;0.576;0;0.017;0;0.035;0;0.367;0;0.017;0;0.227;0;0.035;0;0;0;0.017;0
0.017;0;0;0;0.593;0;0.017;0;0.035;0;0.367;0;0.017;0;0.227;0.1;0.035;0;0;0;0.017;0
0.017;0;0;0;0.593;0;0.017;0;0.035;0;0.367;0;0.017;0;0.227;0;0.035;0;0;0;0.017;0
0.017;0;0;0;0.593;0;0.017;0;0.035;0;0.367;0;0.017;0;0.227;0;0.035;0;0;0;0.017;0
0.017;-0.1;0;0;0.593;0;0.017;0;0.035;0;0.367;0;0.017;0;0.227;0;0.035;0;0;0;0.017;0
0.017;0;0;0;0.611;0;0.017;0;0.035;0;0.367;0;0.017;0;0.227;0;0.052;0;0;0;0.017;0
0.017;0;0;0;0.611;0;0.017;0;0.035;0;0.367;0;0.017;0;0.244;0.1;0.052;0;0;0;0.017;0
0.017;0;0;0;0.611;0;0.017;0;0.035;0;0.367;0;0.017;0;0.244;0;0.052;0;0;0;0.017;0
0.017;0;0;0;0.611;0;0.017;0;0.052;0;0.367;0;0.017;0;0.244;0;0.052;0;0;0;0.017;0
0.017;0;0;0;0.611;0;0.017;0;0.052;0;0.367;0;0.017;0;0.244;0;0.07;0;0;0;0.017;0
0.017;0;0;0;0.628;0;0.017;0;0.052;0;0.367;0;0.017;0;0.244;0;0.087;0;0;0;0.017;0
0.035;0;0;0;0.628;0;0.017;0;0.052;0;0.384;0;0.017;0;0.244;0.1;0.087;0;0;0;0.017;0
0.035;0;0;0;0.628;0;0.035;0;0.052;0;0.384;0;0.017;0;0.244;0;0.105;0;0;0;0.017;0.1
0.035;0;0;0;0.628;0;0.035;0;0.052;0;0.384;0;0.017;0;0.244;0;0.105;0;-0.017;0;0.017;0
0.035;0;0;0;0.646;0;0.052;0;0.07;0;0.384;0;0.017;0;0.244;0;0.122;0;-0.017;0;0.017;0
0.035;0;0;0;0.646;0;0.07;0;0.07;0;0.384;0;0.017;0;0.244;0;0.122;0;-0.017;0;0.017;0
0.035;0;0;0;0.646;0;0.087;0;0.07;0;0.384;0;0.017;0;0.262;0;0.122;0;-0.017;0.1;0.017;0
0.035;0;0;0;0.663;0;0.105;0;0.07;0;0.384;0;0.017;0;0.262;0;0.14;0;-0.017;0;0.017;0
0.035;0;0;0;0.663;0;0.122;0;0.07;0;0.401;0;0.017;0;0.262;0;0.14;0;-0.017;0.1;0.017;0
0.035;0;0;0;0.663;0;0.157;0;0.07;0;0.401;0;0.017;0;0.262;0;0.14;0;-0.017;0;0.017;0
0.035;-0.1;0;0;0.681;0;0.175;0;0.07;0;0.401;0;0.017;0;0.262;0;0.14;0;-0.017;0;0.017;0
0.035;0;0;0;0.681;0;0.209;0;0.07;0;0.419;0;0.017;0;0.262;0;0.14;0;0;0;0.017;0
0.035;0;0;0;0.698;0;0.227;0;0.07;0;0.419;0;0.017;0;0.262;0;0.14;0;0;0;0.017;0
0.035;0;0;0;0.698;0;0.262;0;0.07;0;0.436;0;0.017;0;0.262;0;0.14;0;0;0.1;0.017;0
0.035;0;0;0;0.716;0;0.279;0;0.07;0;0.436;0;0.017;0;0.262;0;0.14;0;0;0;0.017;0
0.035;0;0;0;0.716;0;0.297;0;0.07;0;0.436;0;0.017;0;0.262;0;0.14;0;0;0;0.017;0
0.035;0;0;0;0.716;0;0.314;0;0.07;0;0.454;0;0.017;0;0.279;0;0.14;0;0;0.1;0.017;0.1
0.035;0;0;0;0.733;0;0.314;0;0.087;0;0.454;0;0.017;0;0.279;0;0.157;0;0;0;0.017;0
0.035;0;0;0;0.75;0;0.332;0;0.087;0;0.471;0;0.017;0;0.279;0;0.157;0;0;0;0.017;0
0.035;0;0;0;0.75;0;0.349;0;0.087;0;0.471;0;0.017;0;0.279;0;0.157;0;0;0;0.017;0
0.035;0;0;0;0.768;0;0.349;0;0.105;0;0.489;0;0.017;0;0.279;0;0.157;0;0;0.1;0.017;0
0.035;0;0;0;0.768;0;0.367;0;0.105;0;0.489;0;0.017;0;0.279;0;0.157;0;0;0;0.017;0
0.035;0;0;0;0.785;0;0.367;0;0.105;0;0.506;0;0.017;0;0.279;0;0.157;0;0;0;0.017;0
0.035;0;0;0;0.803;0;0.367;0;0.122;0;0.506;0;0.017;0;0.279;0;0.157;0;0;0.1;0.017;0
0.035;0;0;0;0.803;0;0.384;0;0.14;0;0.506;0;0.017;0;0.279;0;0.175;0;0;0.1;0.017;0
0.035;0;0;0;0.803;0;0.384;0;0.14;0;0.524;0;0.017;0;0.279;0;0.175;0;0;0;0.017;0
0.035;0;0;0;0.82;0;0.384;0;0.157;0;0.524;0;0.017;0;0.279;0;0.175;0;0;0;0.017;0
0.052;0;0;0;0.82;0;0.401;0;0.175;0;0.524;0;0.017;0;0.279;0;0.175;0.1;0;0;0.017;0
0.052;0;0;0;0.838;0;0.401;0;0.175;0;0.541;0;0.017;0;0.279;0;0.192;0;0;0.1;0.017;0
0.07;0;0;0;0.838;0;0.401;0;0.192;0;0.541;-0.1;0.017;0;0.279;0;0.192;0;0;0;0.017;0
0.105;0;0;0;0.838;0;0.401;0;0.209;0;0.559;0;0.017;0;0.279;0;0.192;0;0;0.1;0.017;0
0.157;0;0;0;0.855;0;0.401;0;0.227;0;0.559;-0.1;0.017;0;0.297;0;0.192;0;0;0.1;0.017;0
0.192;0;0;0;0.855;0;0.401;0;0.244;0;0.559;0;0.017;0;0.297;0;0.209;0;0;0;0.017;0
0.244;0;0;0;0.873;0;0.419;0;0.244;0;0.576;0;0.017;0;0.297;0;0.209;0;-0.017;0;0.017;0
0.279;0;0;0;0.873;0;0.419;0;0.262;0;0.576;0;0.017;0;0.297;0;0.209;0;-0.017;0;0.017;0
0.297;0;0;0;0.873;0;0.419;0;0.279;0;0.593;0;0.017;0;0.297;0;0.227;0;-0.017;0;0.017;0
0.314;0;0;0;0.89;0;0.419;0;0.279;0;0.593;0;0.017;0;0.297;0;0.227;0;-0.017;0.1;0.035;0
0.332;0;0;0;0.89;0;0.419;0;0.297;0;0.611;0;0.017;0;0.297;0;0.244;0;-0.017;0;0.035;0
0.332;0;0;0;0.89;0;0.419;0;0.297;0;0.611;0;0.017;0;0.297;0;0.244;0;-0.017;0;0.035;0.1
0.349;0;0;0;0.908;0;0.419;0;0.314;0;0.611;0;0.017;0;0.297;0;0.262;0;-0.017;0;0.035;0
0.367;0;0;0;0.908;-0.1;0.436;0;0.314;0;0.628;0;0.017;0;0.297;0.1;0.279;0;-0.017;0;0.035;0
0.367;0;0;0;0.908;0;0.436;0;0.332;0;0.628;0;0.017;0;0.297;0;0.297;0;-0.017;0.1;0.035;0
0.384;0;0;0;0.925;0;0.436;0;0.332;0;0.628;0;0.017;0;0.314;0;0.297;0;-0.017;0;0.035;0
0.401;0;0;0;0.925;0;0.436;0;0.349;0;0.646;0;0.017;0;0.314;0;0.332;0;-0.017;0.1;0.035;0
0.401;0;0;0;0.925;0;0.436;0;0.349;0;0.646;-0.1;0.017;0;0.314;0;0.349;0;-0.017;0;0.035;0.1
0.419;0;0;0;0.925;0;0.454;0;0.349;0;0.663;0;0.017;0;0.314;0;0.367;0;-0.017;0;0.035;0
0.436;0;0;0;0.942;0;0.454;0;0.367;0;0.663;0;0.017;0;0.314;0;0.384;0;-0.017;0.1;0.035;0.1
0.454;0;0;0;0.942;0;0.454;0;0.367;0;0.663;0;0.017;0;0.314;0;0.401;0;0;0;0.035;0.1
0.471;0;0;0;0.942;0;0.454;0;0.367;0;0.681;0;0.017;0;0.314;0;0.401;0;0;0;0.035;0
0.489;-0.1;0;0;0.96;0;0.471;0;0.367;0;0.681;0;0.017;0;0.314;0;0.419;0;0;0;0.035;0
0.506;0;0;0;0.96;0;0.471;0;0.384;0;0.698;0;0.017;0;0.314;0;0.436;0;0;0.1;0.035;0
0.524;0;0;0;0.977;0;0.471;0;0.384;0;0.698;0;0.017;0;0.314;0;0.436;0;0;0;0.035;0
0.541;0;0;0;0.977;0;0.489;0;0.384;0;0.716;0;0.017;0;0.314;0;0.454;0;0;0;0.035;0
0.541;0;0;0;0.995;0;0.489;0;0.401;0;0.716;0;0.017;0;0.332;0;0.454;0;0.052;0;0.035;0
0.559;0;0;0;0.995;0;0.489;0;0.401;0;0.716;0;0.017;0;0.332;0;0.471;0;0.175;0.1;0.035;0
0.576;0;0;0;1.012;0;0.506;0;0.419;0;0.733;0;0.017;0;0.332;0.1;0.471;0;0.244;0;0.035;0
0.593;-0.1;0;0;1.012;0;0.506;0;0.419;0;0.733;0;0.017;0;0.332;0;0.471;0;0.262;0;0.035;0
0.611;0;0;0;1.03;0;0.506;0;0.419;0;0.75;0;0.017;0;0.332;0;0.489;0;0.262;0.1;0.035;0
0.611;0;0;0;1.047;0;0.524;0;0.436;0;0.75;0;0.017;0;0.349;0;0.489;0;0.262;0;0.035;0
0.628;0;0;0;1.047;-0.1;0.524;0;0.436;0;0.75;0;0.017;0;0.349;0;0.489;0;0.244;0;0.035;0
0.646;0;0;0;1.065;-0.1;0.524;0;0.436;0;0.768;0;0.017;0;0.349;0;0.506;0;0.244;0;0.035;0
0.646;0;0;0;1.065;0;0.541;0;0.454;0;0.768;0;0.017;0;0.349;0;0.506;0;0.244;0.1;0.035;0
0.663;0;0;0;1.082;0;0.541;0;0.454;0;0.768;0;0.017;0;0.367;0;0.506;0;0.244;0;0.035;0
0.663;0;0;0;1.082;0;0.541;0;0.454;0;0.785;0;0.035;0;0.367;0;0.524;0;0.244;0;0.035;0
0.663;0;0;0;1.1;0;0.541;0;0.471;0;0.785;0;0.035;0.1;0.367;0;0.524;0;0.244;0;0.035;0
0.681;0;0;0;1.1;0;0.541;0;0.471;0;0.803;0;0.035;0;0.384;0;0.541;0;0.244;0.1;0.035;0
0.681;0;0;0;1.117;0;0.541;0;0.471;0;0.803;0;0.035;0;0.384;0.1;0.541;0;0.244;0;0.035;0
0.681;0;0;0;1.117;0;0.559;0;0.471;0;0.803;0;0.035;0;0.384;0;0.541;0;0.244;0;0.035;0.1
0.698;0;0;0;1.117;0;0.559;0;0.489;0;0.82;0;0.035;0;0.401;0;0.559;0;0.244;0.1;0.035;0
0.698;0;0;0;1.134;0;0.559;0;0.489;0;0.82;0;0.035;0;0.401;0;0.559;0;0.227;0;0.035;0
0.716;0;0;0;1.134;0;0.559;0;0.489;0;0.82;0;0.035;0;0.419;0;0.559;0;0.227;0.1;0.035;0
0.716;0;0;0;1.134;0;0.559;0;0.489;0;0.838;0;0.035;0;0.419;0.1;0.576;0;0.227;0;0.035;0
0.716;0;0;0;1.152;0;0.576;0;0.506;0;0.838;0;0.035;0;0.436;0;0.576;0;0.227;0;0.035;0
0.733;0;0;0;1.152;0;0.576;0;0.506;0;0.838;0;0.035;0;0.436;0;0.593;0;0.227;0;0.035;0
0.75;0;0;0;1.152;0;0.576;0;0.524;0;0.838;0;0.035;0;0.454;0;0.593;0;0.227;0;0.035;0
0.75;0;0;0;1.152;0;0.593;0;0.524;0;0.855;0;0.035;0;0.471;0;0.611;0;0.227;0;0.035;0
0.75;-0.1;0;0;1.169;0;0.593;0;0.524;0;0.855;0;0.052;0;0.471;0;0.611;0;0.227;0;0.035;0
0.768;0;0;0;1.169;0;0.611;0;0.541;0;0.855;0;0.052;0;0.489;0;0.628;0;0.227;0;0.035;0
0.785;-0.1;0;0;1.169;0;0.611;0;0.541;0;0.873;0;0.052;0;0.506;0;0.628;0;0.227;0.1;0.035;0
0.785;0;0;0;1.169;0;0.611;0;0.541;0;0.873;0;0.052;0;0.506;0;0.628;0;0.227;0;0.035;0
0.803;-0.1;0;0;1.169;0;0.628;0;0.559;0;0.873;-0.1;0.07;0;0.506;0;0.646;0;0.227;0;0.035;0
0.803;0;0;0;1.169;0;0.628;0;0.559;0;0.89;0;0.07;0;0.524;0;0.646;0;0.227;0;0.035;0
0.82;0;0;0;1.187;0;0.646;0;0.559;0;0.89;0;0.087;0;0.524;0;0.663;0;0.227;0;0.035;0
0.838;0;0;0;1.187;0;0.646;0;0.559;0;0.89;0;0.105;0;0.541;0;0.663;0;0.227;0;0.035;0
0.838;0;0;0;1.187;0;0.663;0;0.559;0;0.89;0;0.122;0;0.541;0;0.681;0;0.227;0.1;0.035;0
0.855;0;0;0;1.187;0;0.663;0;0.559;0;0.908;0;0.14;0;0.559;0;0.681;0;0.227;0.1;0.035;0
0.855;0;0;0;1.187;0;0.663;0;0.576;0;0.908;0;0.157;0;0.559;0;0.681;0;0.209;0;0.035;0
0.873;0;0;0;1.187;0;0.681;0;0.576;0;0.908;0;0.175;0;0.576;0;0.698;0;0.209;0.1;0.035;0
0.89;0;0;0;1.204;0;0.681;0;0.576;0;0.925;0;0.209;0;0.576;0.1;0.698;0;0.209;0.1;0.035;0
